,names,nationality
0,Gershon,yiddish
1,Lantz,yiddish
2,Zaide,yiddish
3,Zalman,yiddish
4,Zindel,yiddish
6,Bruna,yiddish
7,Kyla,yiddish
8,Leba,yiddish
9,Mindel,yiddish
10,Shayndel,yiddish
11,Syshe,yiddish
12,Alan,gaelic
13,Angus,gaelic
14,Blaan,gaelic
15,Conan,gaelic
16,Fagan,gaelic
17,Kade,gaelic
18,Keefe,gaelic
19,Keegan,gaelic
20,Keeland,gaelic
21,Keenan,gaelic
22,Kennedy,gaelic
23,Kenyon,gaelic
24,Kermit,gaelic
25,Kern,gaelic
26,Kerry,gaelic
27,Kevin,gaelic
28,Kieran,gaelic
29,Kinnel,gaelic
30,Lawler,gaelic
31,Lee,gaelic
32,Lennon,gaelic
33,Lon,gaelic
34,Mackenzie,gaelic
35,Neal,gaelic
36,Parlan,gaelic
37,Phelan,gaelic
38,Regan,gaelic
39,Renny,gaelic
40,Riley,gaelic
41,Riordan,gaelic
42,Rogan,gaelic
43,Rooney,gaelic
44,Rory,gaelic
45,Ryan,gaelic
46,Seamus,gaelic
47,Senach,gaelic
48,Sheehan,gaelic
49,Slevin,gaelic
50,Sloan,gaelic
51,Sullivan,gaelic
52,Sully,gaelic
53,Sweeny,gaelic
54,Tee,gaelic
56,Blaine,gaelic
57,Blair,gaelic
58,Eilis,gaelic
59,Kalene,gaelic
60,Keaira,gaelic
61,Keelty,gaelic
62,Keely,gaelic
63,Keen,gaelic
64,Keitha,gaelic
65,Kellan,gaelic
66,Kennis,gaelic
67,Kerry,gaelic
68,Kevina,gaelic
69,Killian,gaelic
70,Kyna,gaelic
71,Lakyle,gaelic
72,Lee,gaelic
73,Mab,gaelic
74,Maeryn,gaelic
75,Maille,gaelic
76,Mairi,gaelic
77,Maisie,gaelic
78,Meara,gaelic
79,Meckenzie,gaelic
80,Myrna,gaelic
81,Nara,gaelic
82,Neala,gaelic
83,Nelia,gaelic
84,Oona,gaelic
85,Quinn,gaelic
86,Rhoswen,gaelic
